negyedev,szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
72,alap,0.00834486087867689,-0.00557775091971715,0.0239997586348817,0.0211473154962953,0.0268522017734682,-0.000234803246170465,-0.000233430245135337,0.00708143851140976,-0.000695091196108654,-0.00125146953004516,0.0196614516088828,0
73,alap,0.00846193709419046,-0.00582303609449965,0.0242356120981651,0.0211211456564324,0.0273500785398977,-0.000234987603794348,-0.000231707677545564,0.00730978107690742,-0.000684977409660888,-0.00124085945032903,0.0203464290185437,0
74,alap,0.00858027944451568,-0.00606704947035051,0.0244883492146498,0.0210883264507024,0.0278883719785973,-0.000235262706047899,-0.000229818378011712,0.00753490304431234,-0.000674843254968473,-0.00123044704848281,0.0210212722735122,0
75,alap,0.00870007968108686,-0.00630975919439428,0.0247592038873531,0.0210491165462139,0.0284692912284924,-0.000235643582174306,-0.000227748308369966,0.00775673219806969,-0.000664685564158879,-0.00122022481737696,0.021685957837671,0
76,alap,0.00882154309584306,-0.00655112467576612,0.0250494755090196,0.0210038871092976,0.0290950639087416,-0.000236144597016323,-0.000225482524341031,0.00797519376540459,-0.000654504219893084,-0.00121018485812057,0.0223404620575641,0
77,alap,0.00894489088781541,-0.0067910938759264,0.0253605341340797,0.0209531414175781,0.0297679268505814,-0.00023677918043294,-0.000223005096632621,0.00819021099069021,-0.000644302355827109,-0.00120031883055192,0.0229847644133912,0
78,alap,0.00907036259586047,-0.00702960066588091,0.0256938251692512,0.0208975359045389,0.0304901144339635,-0.000237559514513006,-0.000220299030343942,0.00840170590934992,-0.00063408660277407,-0.001190617896042,0.0236188510161653,0
79,alap,0.00919821855914984,-0.00726656229465728,0.0260508731923147,0.0208379023411364,0.0312638440434929,-0.000238496171399854,-0.000217346181859728,0.00860960038526419,-0.00062386737586074,-0.00118107265209038,0.024242718392026,0
80,alap,0.00932874235539533,-0.00750187702430937,0.026433284455004,0.0207752708001407,0.0320912981098673,-0.000239597694600726,-0.000214127172521921,0.00881381747768485,-0.000613659195756672,-0.00117167305828622,0.0248563775877827,0
1,optimista,-0.0122097542646294,-0.000120153333036294,0.00642607238785906,0.0066336631332666,0.00621848164245153,0.000206543691189301,7.04405979273718e-05,-0.0167136863056191,-0.00124844418980072,-0.000411463484518712,-0.0677488629217043,-0.068997307111505
2,optimista,-0.0113655254186429,0.00289401170656899,0.013033844472818,0.0134893836849794,0.0125783052606567,0.00026669969940769,8.72564760098942e-05,-0.0234610960437086,-0.00167657801468276,-0.0008656919703759,-0.0663118364763061,-0.000239551569284534
