OPTEN,accscale,lamscale,omscale,rho_acc,lambda_acc_E,omega_acc_E,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp
1,100,20,5,0.9673,0.4,0.0175,1,0.428912723050869,-0.236538451827389,0.313306149554096,0.319558896471087,-0.00605119450812147,-0.325610090979208,-0.00625274691699085,-0.556097348298476
1,100,20,10,0.9673,0.4,0.035,1,0.44083788660416,-0.197461177022395,0.390421743602204,0.290078234204723,0.0489712179836882,-0.241107016221034,0.100343509397481,-0.487539411227118
1,100,20,15,0.9673,0.4,0.0525,1,0.452673051695581,-0.158804119007713,0.464853784882348,0.261345898608598,0.102624654525652,-0.158721244082946,0.203507886273749,-0.420150017616311
1,100,20,20,0.9673,0.4,0.07,1,0.464420602523218,-0.120552423911548,0.536735784387728,0.233326447210751,0.154973708414859,-0.0783527387958917,0.303409337176977,-0.353878871122299
1,100,20,30,0.9673,0.4,0.105,1,0.487661726708297,-0.0452101938113079,0.673341011076644,0.179295682442092,0.255996539949406,0.0767008575073145,0.494045328634552,-0.2245058762534
1,100,20,40,0.9673,0.4,0.14,1,0.510577789654741,0.0286673616063948,0.801144002160184,0.12774498386798,0.352478892677362,0.224733908809382,0.673399018292204,-0.0990776222615853
1,100,20,60,0.9673,0.4,0.21,1,0.555492486486918,0.172380102409794,1.03344049352138,0.0312594946621031,0.533324717369958,0.502065222707855,1.00218099885927,0.141120607747691
1,100,20,80,0.9673,0.4,0.28,1,0.599266621039564,0.311198915390657,1.23896560995129,-0.0575533002385677,0.700105890787294,0.757659191025861,1.29651891018986,0.368752215629225
1,100,20,100,0.9673,0.4,0.35,1,0.641984255293548,0.44561867940395,1.42194300250473,-0.139822008819076,0.854880341553949,0.994702350373024,1.56176501132381,0.585440688223026
1,100,20,140,0.9673,0.4,0.49,1,0.724521486482381,0.70281482530824,1.7331501540464,-0.288185650095757,1.13471715451787,1.42290280461363,2.02133580414216,0.991000475403997
