negyedev,szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer,rk_S,rk_L,z_S,z_L,l_S,l_L
56,optimista,0.00572981880747854,0.00211497122120991,0.00350034644846586,0.0137495745621734,0.0169224376814033,-0.000631621845567251,-0.000485988363781162,-0.0186422630562505,-0.0172857856101497,0.00350797557133609,0.00350034644846586,-0.00109354955648162,-4.42376077692209e-05,-3.95594501015757e-05,0.00962760317351397,-0.0155238094469347,-0.0125702345647393,-0.000375132847400363,0.00144522352626353,0.000480095137683041,0.00379710048524289
57,optimista,0.00573326614485411,0.0021154474454507,0.00350835042780388,0.0138739021908313,0.0167587035626641,-0.000630995664620237,-0.000485729193522658,-0.0186702151087002,-0.0172756208789876,0.00351532013116592,0.00350835042780388,-0.00108778264015726,-3.99481623809871e-05,-3.4264731075743e-05,0.00966755133589496,-0.0154788797745377,-0.012556318148587,-0.000371881257683067,0.00145128376213572,0.000485274926034837,0.00380846326735996
58,optimista,0.00573642522348242,0.00211631648586128,0.00351527307231831,0.0139862240203644,0.0166105688510639,-0.000630318535939459,-0.000485523794301386,-0.018695817763488,-0.0172655088926543,0.00352164815200142,0.00351527307231831,-0.00108185512189202,-3.60262312141655e-05,-2.94743659154093e-05,0.00970357756710913,-0.0154403703228307,-0.0125400491169256,-0.000368859958486994,0.0014568341596407,0.000489964001700082,0.00381860005015516
59,optimista,0.00573938152463415,0.0021176198301515,0.00352118641723959,0.0140873944305891,0.0164774827280754,-0.000629602759672964,-0.00048536603082007,-0.0187191110499415,-0.0172555415165062,0.0035270229714765,0.00352118641723959,-0.00107574754951627,-3.24356874162886e-05,-2.51524130316585e-05,0.00973601325452541,-0.0154074013371807,-0.0125217787803702,-0.000365939900066739,0.00146187630652237,0.000494303348328292,0.00382754523960871
60,optimista,0.00574220169694115,0.00211937663357407,0.00352616118659353,0.0141782436683039,0.0163588047102877,-0.000628859951946541,-0.000485250335021028,-0.0187401516921474,-0.0172457952398472,0.00353150789361664,0.00352616118659353,-0.00106945927684118,-2.91453428058229e-05,-2.12639559636798e-05,0.00976515859733124,-0.0153792132868673,-0.0125018580800133,-0.000363025290701993,0.00146641456192521,0.000498401779127906,0.00383533900395744
61,optimista,0.00574493607723706,0.00212158741495426,0.00353026700518706,0.0142595681270814,0.01625382305283,-0.000628100830704831,-0.000485171632129387,-0.0187590112344987,-0.0172363329416543,0.00353516625780562,0.00353026700518706,-0.00106300397004324,-2.61282103472489e-05,-1.77753604537633e-05,0.00979128680767849,-0.0153551538072016,-0.0124806300959111,-0.000360048861290769,0.00147045656040308,0.00050234052049109,0.0038420273603032
62,optimista,0.00574762109824649,0.00212423754708092,0.0035335724077256,0.0143321240509667,0.0161617719400586,-0.000627335080349985,-0.000485125281862399,-0.0187757739354452,-0.017227205438039,0.00353806130847286,0.0035335724077256,-0.00105640572245391,-2.33608492935211e-05,-1.46544696213307e-05,0.00981464765697201,-0.0153346649826474,-0.0124584240574174,-0.000356967334986909,0.00147401339869918,0.000506177551888471,0.00384766183760648
63,optimista,0.0057502815399046,0.00212730047863291,0.00353614470413907,0.0143966239306161,0.0160818472944995,-0.000626571279894662,-0.000485107032014877,-0.0187905345608049,-0.0172184528490102,0.00354025592777031,0.00353614470413907,-0.00104969575439798,-2.08227912386136e-05,-1.1870743489162e-05,0.00983547044821062,-0.0153172712678623,-0.0124355507087431,-0.000353757196175607,0.00147709958096008,0.000509951626046265,0.00385229884207023
64,optimista,0.00575293259587441,0.0021307406482337,0.00353804975036242,0.0144537349680039,0.0160132210992944,-0.000625816881204475,-0.000485112981948341,-0.0188033961782045,-0.0172101058153258,0.00354181228270812,0.00353804975036242,-0.00104290966166623,-1.84960433446975e-05,-9.39534961679342e-06,0.00985396649155532,-0.015302568249495,-0.0124122988787869,-0.000350410820654953,0.0014797327871292,0.000513685921894845,0.00385599882914114
65,optimista,0.00575558173892192,0.00213451607018096,0.00353935166473261,0.0145040790857587,0.0159550541834068,-0.000625078225714746,-0.000485139553834971,-0.0188144680287251,-0.0172021865903337,0.00354279142832999,0.00353935166473261,-0.00103608516761073,-1.6364663623257e-05,-7.20121170941561e-06,0.00987033115517858,-0.0152902123745505,-0.012388933105021,-0.000346933002501136,0.00148193351894133,0.000517391305735134,0.00385882536659107
