negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
21,alap,0.00093448950083772,0.00116107974260855,0.000657545872006704,0.00543326246845456,0.00625042609841673,0.00461609883849238,-0.000383008325211114,0.00049908086204694,-0.000812560784386142,-0.000565181351165837,-0.00619149292667981,-0.00435707906014654,-0.000185990840028201,-0.000146975693572793,0.000595216242571796,0.000595216242571796,-0.005,-0.001125
22,alap,0.000957898397862781,0.00119274594964884,0.000670862501235381,0.00541624782969329,0.00621595712769671,0.00461653853168987,-0.000355089355288229,0.000492410956747823,-0.000771399870546949,-0.000551971478497565,-0.00711701067261276,-0.00513253133181317,-0.000189776351790379,-0.000150566000448779,0.000610126368065466,0.000610126368065466,-0.005,-0.001125
23,alap,0.000980270594743014,0.00122287131113384,0.000683758608043112,0.00540464086965669,0.00619082403114791,0.00461845770816548,-0.000326999102514261,0.000485381313697133,-0.000735047450033911,-0.000539868972053981,-0.00793368794221348,-0.00584599463868198,-0.000193300869588519,-0.000153936296367003,0.000624376174995551,0.000624376174995551,-0.005,-0.001125
24,alap,0.00100169120713704,0.00125161233114318,0.000696232055573971,0.00539770417545508,0.00617382577297384,0.00462158257793632,-0.000298809320445942,0.000478032593038841,-0.00070294946831994,-0.000528789315926765,-0.00865427566915435,-0.00650251462513275,-0.00019656932199971,-0.00015707755351509,0.000638019877157349,0.000638019877157349,-0.005,-0.001125
25,alap,0.00102223419506025,0.00127910911009551,0.000708275965572705,0.00539477800177233,0.00616389883669488,0.00462565716684979,-0.000270574937417234,0.000470400604718454,-0.000674616345791698,-0.000518654837857238,-0.00929004507754294,-0.0071067361166174,-0.000199585231419513,-0.00015998175736142,0.00065110458284092,0.00065110458284092,-0.005,-0.001125
26,alap,0.00104196303235999,0.00130548512928045,0.000719880469457207,0.00539527109804312,0.00616010085785706,0.00463044133822917,-0.000242336977703879,0.000462515256008574,-0.000649615539565904,-0.00050939418818035,-0.00985095966926917,-0.00766293518832063,-0.000202351215327716,-0.000162641694678451,0.000663670721248403,0.000663670721248403,-0.005,-0.001125
27,alap,0.00106093166795861,0.00133084812356378,0.000731033777774508,0.00539865267829635,0.0061615962799751,0.00463570907661761,-0.000214124889949022,0.000454400519400317,-0.000627564945634581,-0.000500941853897731,-0.0103458273059459,-0.00817504871463156,-0.000204869274455993,-0.000165050846380593,0.000675752654750704,0.000675752654750704,-0.005,-0.001125
28,alap,0.00107918552194661,0.00135529138950109,0.000741722794935582,0.00540444533804197,0.00616764372811702,0.00464124694796692,-0.000185958400913075,0.000446074817338645,-0.000608127057097298,-0.00049323770870165,-0.0107824346580132,-0.00864670158712525,-0.000207140984418334,-0.000167203334381309,0.000687379313341792,0.000687379313341792,-0.005,-0.001125
29,alap,0.00109676241825686,0.00137889521268757,0.000751933447285994,0.00541221878167028,0.00617758486880123,0.00464685269453932,-0.000157848996440277,0.00043755154912585,-0.000591003796643778,-0.000486226597640918,-0.0111676660519004,-0.00908123178081213,-0.000209167645119479,-0.00016909390058447,0.000698574788698638,0.000698574788698638,-0.005,-0.001125
30,alap,0.00111369342342469,0.00140172826590253,0.000761650838173997,0.00542158425572,0.00619083456939343,0.00465233394204657,-0.000129801110738563,0.00042883963884134,-0.000575931947608702,-0.000479857954336838,-0.0115076085202039,-0.00948171343712544,-0.00021095041343825,-0.000170717908913433,0.000709358868423369,0.000709358868423369,-0.005,-0.001125
31,alap,0.00113000358841829,0.00142384891300542,0.000770859302811797,0.0054321896023737,0.00620687219980794,0.00465750700493945,-0.000101813086236921,0.000419944054076505,-0.000562679115214987,-0.000474085448454925,-0.0118076446545589,-0.00985097812001616,-0.000212490431465644,-0.000172071366859983,0.000719747508546682,0.000719747508546682,-0.005,-0.001125
32,alap,0.00114571260059515,0.00144530639468875,0.000779542407814071,0.005443714860262,0.00622523394105811,0.00466219577946589,-7.38779511382918e-05,0.000410866277555309,-0.000551040156909732,-0.000468866661174315,-0.0120725346769578,-0.0101916343896749,-0.000213788956597381,-0.000173150965452322,0.000729753248786717,0.000729753248786717,-0.005,-0.001125
33,alap,0.00116083535569075,0.00146614189213308,0.000787682922261241,0.00545586834913604,0.00624550598241517,0.00466623071585692,-4.59840502329716e-05,0.000401604728000084,-0.000540834027515077,-0.000464162786522037,-0.0123064889816127,-0.010506085827205,-0.00021484749713372,-0.000173954137609705,0.00073938557687309,0.00073938557687309,-0.005,-0.001125
34,alap,0.00117538245980276,0.00148638947390008,0.000795262775906029,0.00546838318260347,0.00626731850326248,0.00466944786194446,-1.81155559379328e-05,0.000392155132620123,-0.000531900991108254,-0.00045993835659099,-0.012513232254355,-0.0107965476331572,-0.000215667955916279,-0.000174479135367579,0.000748651248282009,0.000748651248282009,-0.005,-0.001125
35,alap,0.00118936067045532,0.00150607693536247,0.000802263013346583,0.0054810141595748,0.00629034034800658,0.00467168797114303,9.74711981523114e-06,0.000382510855877359,-0.000524100157089382,-0.000456160988813121,-0.0126960601481218,-0.011065061913208,-0.000216252784100762,-0.000174725126762908,0.000757554567168994,0.000757554567168994,-0.005,-0.001125
36,alap,0.00120277328475287,0.00152522654129555,0.000808663748978479,0.00549353499065835,0.00631427431308729,0.00467279566822942,3.7626996899469e-05,0.000372663189813783,-0.000517307302826042,-0.000452801153604181,-0.0128578893794915,-0.0113135117553867,-0.000216605147048021,-0.000174692313405911,0.000766097633600553,0.000766097633600553,-0.005,-0.001125
37,alap,0.0012156204816225,0.00154385568230657,0.000814444125230855,0.00550573582064557,0.00633885297449568,0.00467261866679547,6.55502690461792e-05,0.000362601611167682,-0.00051141294963389,-0.000449831960830883,-0.0130013020108125,-0.0115436341950767,-0.000216729104344634,-0.000174382069987557,0.000774280561542994,0.000774280561542994,-0.005,-0.001125
38,alap,0.0012278996242739,0.00156197745524656,0.000819582275307321,0.00551742101255137,0.0063638349924519,0.00467100703265083,9.35461067641903e-05,0.000352314010190727,-0.00050632066272054,-0.00044722896367535,-0.0131285845937154,-0.0117570321564831,-0.000216629806064125,-0.000173797107202435,0.000782101671512042,0.000782101671512042,-0.005,-0.001125
39,alap,0.00123960552827701,0.00157960117698155,0.000824055290971469,0.00552840716248808,0.00638900183715891,0.00466781248781724,0.000121646513230299,0.000341786895694362,-0.000501945549141197,-0.00044496997858629,-0.0132417627713649,-0.0119551854523184,-0.000216313707519937,-0.000172941659811004,0.000789557661322936,0.000789557661322936,-0.005,-0.001125
40,alap,0.00125073070005314,0.0015967328400706,0.00082783919558735,0.00553852131801664,0.00641415488595064,0.00466288775008264,0.00014988622678015,0.00033100558048055,-0.000498212930840351,-0.000443034920112173,-0.0133426318674912,-0.0121394609170679,-0.000215788804928881,-0.000171821701826139,0.000796643757995629,0.000796643757995629,-0.005,-0.001125
1,optimista,0.000248393641569771,0.000256463645263926,0.00023853030372136,0.00429846425198865,0.0051750649926014,0.0034218635113759,-0.000340416645281805,0.000374751705673367,-0.000407786037316082,-0.000139740319934132,0.0185613897282532,0.0140647213629308,-0.00018592344135176,-4.95671913662836e-05,0.000158212510553995,0.000158212510553995,-0.0003125,0
2,optimista,0.000398807730412261,0.000417742309176444,0.000375665467478262,0.00451424876235373,0.00539346850046485,0.00363502902424261,-0.000558527187875348,0.000547409170364269,-0.000371786611257357,-0.000143858038853172,0.0170134854651201,0.0131158916825,-0.000150472736884886,-7.48253808981864e-05,0.000254017662682969,0.000254017662682969,-0.000625,0
