negyedev,szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,xx,c,infl,r,rer,bstar
38,optimista,0.00107648907788661,0.00121100874994601,0.000544319399406017,0.000631256399833616,0.00165543715123353,0.00033557788748172,0.000180564499087973,0.0013541851965246,0.00290144969578117,0.00291012926450655,0.00594324136786732,-0.000473913721477074,-0.000472248962862748,-0.000937624150259963,0.000915275649171955,0.000606862143572402,-9.8533066060189e-06,-2.66983574940092e-05,0.000736596222845331,-0.012393206570024
39,optimista,0.00109016033814491,0.00122657179778709,0.000546906204264605,0.000631500062234562,0.0016845826630011,0.000335229102368789,0.000174469955868598,0.00137909411821963,0.00292685195098736,0.00293582795879695,0.00599404390669512,-0.000471333999609493,-0.000469670522035733,-0.000932000939472281,0.000929177602023917,0.000620475060308059,-8.89125245126794e-06,-2.19243181983273e-05,0.000745487475296598,-0.0124123027272067
40,optimista,0.0011028283963714,0.00124102389931906,0.000548359809613434,0.000631044601581419,0.00171252695123523,0.000333914310417634,0.000168037273772307,0.00140304310580493,0.00295252676139143,0.00296181874774539,0.00604490884337217,-0.000469048288002612,-0.000467378237880804,-0.000926865133902114,0.000942157875564933,0.000632212458645864,-8.16028948654915e-06,-1.76787005546107e-05,0.000753647764783148,-0.0124292851977816
41,optimista,0.00111476506713323,0.00125466856510735,0.000548977354807859,0.00063014058564982,0.00173954917017196,0.000331881466574352,0.000161410826963841,0.00142624033147133,0.00297844564802718,0.00298807203199201,0.00609577910715671,-0.000467019883278433,-0.000465336708068773,-0.00092218021608966,0.000954434657775019,0.000642585342346253,-7.62105433895436e-06,-1.39230736930047e-05,0.000761268819122102,-0.012444307705228
42,optimista,0.00112620305181133,0.00126776825194743,0.000549011097784845,0.000629004535878105,0.00176588750207814,0.000329336655676282,0.000154707444961888,0.00144885734130783,0.00300457768618536,0.00301455579095061,0.00614659322033226,-0.000465218565474411,-0.000463516836778193,-0.00091791355527656,0.00096618823396051,0.000652038478461263,-7.2393371240489e-06,-1.06204433489271e-05,0.000768508156246152,-0.0124575182266043
43,optimista,0.00113733593240184,0.00128054251363922,0.000548671154144245,0.000627816654215455,0.00179173991688035,0.000326449691458834,0.000148020314326501,0.00147103394232299,0.00303088966765318,0.00304123572196111,0.00619728580550724,-0.00046361964142446,-0.000461894910835848,-0.000914036026074941,0.000977566063195582,0.000660947264061487,-6.98557856259147e-06,-7.73362448043267e-06,0.000775493734808743,-0.0124690655020783
44,optimista,0.00114832017722205,0.00129316915277071,0.000548129137190071,0.000626721492630599,0.00181726662278781,0.000323359081674607,0.000141422509131302,0.00149288256539618,0.00305734658141412,0.00306807572004635,0.00624778834806663,-0.000462203006127826,-0.000460451681469923,-0.000910521626920489,0.000988687301534082,0.000669619420903271,-6.83438269954733e-06,-5.22495622357988e-06,0.000782328117508291,-0.0124791001751057
45,optimista,0.00115927845368946,0.00130578738027232,0.000547522324128858,0.000625830582721016,0.0018425935994211,0.000320176432058827,0.000134970133933451,0.00151449214154731,0.00308391219485527,0.00309503846976055,0.00629802998869425,-0.000460952295036927,-0.000459171529933827,-0.000907347124589834,0.000999646818474507,0.000678299959924456,-6.76405351396218e-06,-3.05672027283148e-06,0.000789092171022253,-0.0124877731189087
46,optimista,0.00117030363248461,0.00131850211157937,0.000546958009965572,0.00062522617654264,0.00186781667860006,0.000316990347113536,0.000128705086293926,0.00153593152880224,0.00311054960565688,0.00312208601214374,0.00634793821868534,-0.000459854160395178,-0.000458041753592945,-0.000904491737845497,0.00101051874935802,0.000687178028254889,-6.75616134794262e-06,-1.19183509215191e-06,0.000795848332370197,-0.0124952326596314
47,optimista,0.0011814630064572,0.00133138872089605,0.000546517783987491,0.000624965444256153,0.00189300575769928,0.000313869875847503,0.000122657460772089,0.00155725252663361,0.00313722169805657,0.00314918021607954,0.00639743941954033,-0.000458897678500647,-0.000457051981400601,-0.00090193686432007,0.00102135962367276,0.000696394546353798,-6.79514275315268e-06,4.05433170942304e-07,0.000802643475123349,-0.0125016217326838
48,optimista,0.00119280239211648,0.00134449777608668,0.000546261545125906,0.000625084671876483,0.00191820885644337,0.000310867544255201,0.000116847624542007,0.00157849251427769,0.00316389147927617,0.00317628312750193,0.0064464592325784,-0.000458073879273244,-0.000456193711207083,-0.000899665849267423,0.00103221110711687,0.000706049858776206,-6.8679353480925e-06,1.76887924366252e-06,0.000809511410471441,-0.0125070755169747
49,optimista,0.00120434990807745,0.00135785945331772,0.000546231146081486,0.000625603173575832,0.00194345583902162,0.00030802201222249,0.000111287998198456,0.00159967674811148,0.00319052229717614,0.00320335719657228,0.00649492276975924,-0.000457375381817648,-0.000455459953028349,-0.000897663791898139,0.00104310239339065,0.000716210903522984,-6.96364771220143e-06,2.92994047758861e-06,0.000816475058183642,-0.0125117197619104
50,optimista,0.00121611932403091,0.00137148746946436,0.000546453614923308,0.000626526766205115,0.00196876171077517,0.000305360389775312,0.000105984575544671,0.00162082035175477,0.00321707795334391,0.00323036539695714,0.00654275468909852,-0.000456796117190192,-0.000454844959551547,-0.000895917383860442,0.00105405227983642,0.000726917628577125,-7.07326321708685e-06,3.91745532534703e-06,0.000823548321400729,-0.0125156698213014
51,optimista,0.001228112944717,0.00138538246999974,0.000546943945453001,0.000627850748458753,0.00199412946134606,0.00030290024549037,0.000100938214448529,0.00164193003071817,0.0032435227309036,0.00325727125689121,0.00658987916169028,-0.000456331120221051,-0.000454344025617083,-0.000894414774361236,0.00106507095911955,0.000738188546270733,-7.18937595666901e-06,4.75757546357749e-06,0.000830737697357399,-0.0125190303018543
52,optimista,0.00124032403949112,0.00139953487533981,0.000547707475500092,0.000629562388540223,0.0020195524669805,0.000300651338051941,9.61457281408065e-05,0.0016630055413451,0.00326982135655183,0.00328403882212984,0.00663621975599686,-0.000455976374503257,-0.000453953340614733,-0.000893145456949951,0.00107616155711446,0.000750025423256971,-7.30595650934474e-06,5.47379769584225e-06,0.000838043653866743,-0.0125218951907834
53,optimista,0.00125273885463086,0.00141392722666372,0.000548741888338695,0.000631642959571883,0.00204501648819623,0.000298617100137474,9.1600803228337e-05,0.00168404094158765,0.0032959389139848,0.00331063256859039,0.00668169926126611,-0.000455728697527318,-0.000453669880603808,-0.000892100173772703,0.00108732144503803,0.000762417167186251,-7.41814506692882e-06,6.087080651931e-06,0.000845461798933672,-0.0125243483226077
54,optimista,0.00126533825797077,0.00142853609058158,0.000550038879721019,0.000634069378699392,0.00207050131000493,0.000296795901943722,8.72947675893193e-05,0.00170502564889451,0.00332184072251723,0.00333701727905906,0.00672623946732852,-0.000455585655801838,-0.000453491329866766,-0.000891270833934589,0.00109854335169519,0.000775343002518359,-7.52206942677481e-06,6.61601535036371e-06,0.000852983868360447,-0.0125264640614015
55,optimista,0.00127809906852795,0.00144333358728003,0.000551585534447801,0.000636815510252524,0.00209598207451981,0.000295182119702906,8.32172284169577e-05,0.00172594532824025,0.00334749219122997,0.00336315789477602,0.0067697609135694,-0.000455545502333106,-0.000453416024186367,-0.000890650443367131,0.00110981629951244,0.000788775037767674,-7.61468540846093e-06,7.07702488240855e-06,0.000860598553768908,-0.0125283080995296
56,optimista,0.00129099512125513,0.00145828860416524,0.000553365454233141,0.000639853190437888,0.00212143035340256,0.000293767032506999,7.93565980746272e-05,0.00174678263113869,0.0033728586559061,0.00338901934952692,0.00681218261604027,-0.000455607130910889,-0.000453442910256258,-0.000890233044233821,0.00112112638587665,0.000802680323286155,-7.69363738237601e-06,7.48457495638006e-06,0.000868292191151283,-0.0125299382998255
57,optimista,0.0013039981116544,0.00147336775033378,0.000555359674568669,0.000643153024448234,0.00214681500263598,0.00029253956870047,7.57005231418941e-05,0.00176751780439437,0.00339790520352292,0.00341456639127756,0.00685342177863044,-0.000455770043252375,-0.000453571517276696,-0.000890013662407889,0.00113245742920593,0.00081702248859595,-7.75713675477006e-06,7.85138281525568e-06,0.000876049327906054,-0.012531405531261
58,optimista,0.00131707825852341,0.00148853609896984,0.000557547403506078,0.000646684998956635,0.00217210283617413,0.000291486921064078,7.22362300477745e-05,0.00178812918537716,0.00342259648717926,0.00343976339441883,0.00689339349194579,-0.000456034326243513,-0.000453801938000936,-0.000889988261933485,0.00114379149718529,0.000831763035445129,-7.803856422878e-06,8.18861669017585e-06,0.000883853184328931,-0.0125327544667607
59,optimista,0.00133020481669135,0.00150375775653278,0.000559906610478061,0.000650418945149484,0.0021972591491111,0.000290595048036772,6.89507989694296e-05,0.00180859359876969,0.00344689653298322,0.00346457416427315,0.00693201042192437,-0.00045640063736464,-0.000454134817362213,-0.00089015370565572,0.00115510933272175,0.000846862349730788,-7.83283938273627e-06,8.50608141183808e-06,0.000891686023711668,-0.0125340243256474
