negyedev,szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,xx,c,infl,r,rer,bstar
38,optimista,0.0015728003608075,0.00171820786476549,0.00123920020514059,0.00193552353516925,0.00140800136859905,0.00101356345062987,0.00144835326974838,0.00108236650697562,0.00635332845039167,0.00846522298147772,0.00595084632780396,-0.0004702009131032,-0.000463672812763277,-0.000939025143326875,0.00669045330337746,0.00828699174834639,0.00108166175849676,0.000670279138556851,-2.41391559037215e-05,-4.24391467967485e-05,0.00120539705905931,-0.012330243412813
39,optimista,0.00159995415344804,0.001747022156691,0.00126405129372575,0.00198053663604466,0.0014213919227575,0.00103583785190983,0.00148780306848755,0.00109203843286407,0.00640195083556129,0.00852533340394535,0.0060016559465658,-0.000467041238949788,-0.000460216911984399,-0.000933304363897311,0.00662096778577042,0.00819448526605543,0.00109775572735989,0.000700777986215387,-2.29581844136854e-05,-3.79896575382749e-05,0.00122835524347299,-0.0123480413698469
40,optimista,0.00162587619082194,0.001774489050952,0.00128747174277576,0.00202423408166917,0.00143369925978824,0.00105686106227063,0.0015263246578513,0.00110088611860471,0.00645181038136673,0.00858730389259519,0.00605253416983821,-0.000464223170916336,-0.000457109970508947,-0.000928077770283916,0.00655626895973753,0.00810808740241948,0.00111286670360081,0.000728796721460387,-2.20186245128231e-05,-3.40194707427634e-05,0.00125037386798582,-0.0123639221170289
41,optimista,0.00165085157290366,0.00180092630675865,0.00130977070992799,0.00206688728604908,0.0014452101095077,0.00107689156023236,0.00156408003102441,0.00110912315483332,0.00650287751192319,0.00865110144582745,0.00610343268588804,-0.000461702742204013,-0.000454307600997781,-0.000923307209707195,0.00649623410018492,0.00802764329455101,0.0011272209041078,0.000754868764527796,-2.12816440100339e-05,-3.04946700675836e-05,0.00127165551199585,-0.0123780213197297
42,optimista,0.00167512622774665,0.00182661042699296,0.00133121350913898,0.00210873560504491,0.00145616804941115,0.00109614721512249,0.00160120610660021,0.00111692464781917,0.00655510071766221,0.00871665861702115,0.00615429899326606,-0.000459443139252834,-0.000451772551293171,-0.00091895849829799,0.00644068526366285,0.00795292817860129,0.00114100617659992,0.000779465334667873,-2.07133376869046e-05,-2.73830390738328e-05,0.00129236884968275,-0.0123904678437047
43,optimista,0.00169890710533207,0.00185177516245542,0.00135202419007462,0.00214998383415936,0.00146677496106594,0.00111481048831382,0.00163781788717582,0.00112443245966116,0.00660841327166082,0.0087838843416233,0.00620507679884134,-0.000457413732559872,-0.000449473765341907,-0.000915001045722286,0.00638940993923317,0.00788367336516586,0.00115437709064996,0.000802991441975747,-2.0284263316309e-05,-2.46523383461598e-05,0.00131265311299906,-0.0124013906466154
44,optimista,0.00172236421096614,0.00187661276229866,0.00137238896167087,0.00219080249901493,0.0014771939405108,0.00113303307175266,0.00167401137305516,0.0011317598721061,0.00666273870367786,0.00885267259302141,0.00625570668541345,-0.000455589116865646,-0.000447385437972298,-0.000911407477728215,0.00634217668207949,0.00781958595532172,0.00116745947874197,0.000825786633923995,-1.99689903945707e-05,-2.22698757858281e-05,0.00133262210339363,-0.0124109204968567
45,optimista,0.00174563383434783,0.00190127706385014,0.00139246011493833,0.00223133002986423,0.00148755311690925,0.00115094002683741,0.0017098662032827,0.00113899571703634,0.00671799510193285,0.00892290908488593,0.00630612683455651,-0.000453948232081729,-0.000445486141095427,-0.000908153281702957,0.00629874664393102,0.00776036341476203,0.00118035447293153,0.000848129016421751,-1.97456693180511e-05,-2.02027766786589e-05,0.00135236777271168,-0.0124191888932854
46,optimista,0.00176882241384314,0.00192588762922703,0.00141236013445678,0.0022716760363804,0.0014979499026226,0.00116863347330738,0.00174544801798965,0.00114620801664562,0.00677409837710313,0.00899447630124566,0.00635627368052864,-0.000452473599018984,-0.000443758059606411,-0.000905216488093471,0.00625888184537934,0.00770570405156376,0.00119314207930457,0.000870241232453332,-1.95956266303419e-05,-1.84185527104532e-05,0.00137196339934203,-0.0124263257891582
47,optimista,0.00179201060169207,0.0019505343108793,0.00143218575456703,0.00231192507606935,0.00150845530605411,0.0011861958690358,0.00178081055049056,0.00115344717579882,0.00683096465091467,0.00906725715080426,0.00640608243493989,-0.000451150679076268,-0.000442186348829502,-0.000902577392193897,0.00622235092672497,0.00765531431590295,0.00120588432994615,0.000892297354885992,-1.95029898753962e-05,-1.68857228626048e-05,0.00139146638921742,-0.0124324571085496
48,optimista,0.0018152572260816,0.00197528180925513,0.00145201178967023,0.00235214048867261,0.00151911805140464,0.0012036929161158,0.00181599746622555,0.0011607487679795,0.00688851193456529,0.00914113752642238,0.00645548746349006,-0.000449967352036408,-0.000440758609231698,-0.000900218315610347,0.00618893299178904,0.00760891369159675,0.00121862805010201,0.00091442994193669,-1.94543437776485e-05,-1.55743519406768e-05,0.00141092073299507,-0.0124377025922373
49,optimista,0.00183860295995884,0.00200017394470507,0.00147189463444634,0.00239236802403292,0.00152996834859182,0.00122117612522983,0.00185104397004274,0.00116813595460891,0.00694666124979821,0.00921600801813703,0.00650442252058997,-0.000448913498332997,-0.000439464465598653,-0.000898123403876434,0.00615842003968668,0.00756623780185387,0.00123140727635316,0.000936736764628949,-1.94384180361198e-05,-1.44564489056034e-05,0.00143035915103119,-0.0124421742043776
50,optimista,0.00186207359604139,0.00202523749107815,0.00149187538311768,0.00243263911218678,0.00154102123460245,0.001238685068125,0.0018859782048162,0.00117562157546527,0.00700533732517892,0.00929176498856188,0.00655282086002264,-0.000447980669240458,-0.000438295234485338,-0.000896278455475396,0.00613061837221459,0.00752704021778914,0.00124424535975995,0.000959286924375472,-1.94458059726774e-05,-1.35062144981394e-05,0.00144980495700387,-0.0124459751420074
51,optimista,0.00188568289193092,0.00205048550900004,0.0015119825558127,0.0024729737115287,0.00155227946359782,0.00125624934646545,0.00192082246407442,0.00118320994556259,0.00706446897720464,0.00936831117955881,0.00660061524417573,-0.00044716182851974,-0.000437243663562947,-0.000894670777328105,0.00610534927342188,0.00749109334402813,0.00125715678598728,0.00098212623198746,-1.94687125706154e-05,-1.2700153587501e-05,0.00146927366957448,-0.01244919938565
52,optimista,0.00190943499161656,0.00207592017672351,0.00153223444594943,0.00251338272824795,0.00156373595976427,0.00127389030400954,0.00195559423996865,0.00119089839128284,0.00712398926356278,0.00944555598251193,0.00664773787401625,-0.000446451150742871,-0.000436303728037578,-0.000893289062183211,0.00608244918389434,0.00745818866251786,0.00127014874237812,0.00100528182269407,-1.9500730012912e-05,-1.2017079100478e-05,0.0014887743995874,-0.0124519316835981
53,optimista,0.00193332645456385,0.00210153515204485,0.00155264111783569,0.00255387003423571,0.00157537586819157,0.0012916225077435,0.00199030712608211,0.00119867855589943,0.00718383547595446,0.00952341547319792,0.00669412025917878,-0.00044584386388684,-0.000435470471629811,-0.000892123283987174,0.00606176953408387,0.00742813654221471,0.00128322245981779,0.00102876604490246,-1.95366386115589e-05,-1.1438036789828e-05,0.00150831103819895,-0.0124542478528407
54,optimista,0.00195734793578016,0.00212731751666304,0.00157320609110067,0.00259443412775164,0.00158717824914207,0.00130945502219406,0.00202497159261237,0.00120653750197003,0.00724394902318197,0.00960181228664188,0.00673969304381123,-0.000445336126251826,-0.000434739882062089,-0.000891164608022147,0.00604317635647494,0.00740076576603772,0.00129637435506153,0.00105257969389936,-1.95722309490665e-05,-1.0946177520711e-05,0.00152788326914802,-0.0124562152899172
55,optimista,0.00198148556391239,0.0021532493603255,0.00159392775061659,0.00263506948693954,0.0015991174636306,0.00132739249961406,0.00205959564954771,0.00121445863547922,0.00730427524176986,0.00968067538718654,0.00678438580006714,-0.00044492493000313,-0.000434108793261025,-0.000890405313267045,0.00602654976300996,0.00737592288428463,0.00130959699702567,0.00107671467488651,-1.96041570808125e-05,-1.05265989386899e-05,0.00154748742622883,-0.0124578936042452
56,optimista,0.00200572206289029,0.00217930906076825,0.00161480051926083,0.00267576766521418,0.0016111642962091,0.0013454361071067,0.00209418541169958,0.00122242247412303,0.00736476316097806,0.00975993977359274,0.00682812679781975,-0.000444608025520127,-0.000433574808389282,-0.000889838725008875,0.00601178334959872,0.00735347147261514,0.00132287991840769,0.00110115618023538,-1.96297887345773e-05,-1.01661730447644e-05,0.00156711721496341,-0.0124593353078209
57,optimista,0.00203003765830985,0.00220547231019877,0.00163581582771877,0.00271651817281848,0.00162328685639473,0.00136358431006359,0.00212874557788116,0.00123040727977873,0.00742536524121853,0.00983954614748643,0.00687084275648307,-0.00044438386222972,-0.000433136239338712,-0.000889459156191646,0.00599878357161835,0.00733329135006965,0.0013362102919368,0.00112588445926279,-1.964710056449e-05,-9.85337129251484e-06,0.0015867643155279,-0.0124605865148299
58,optimista,0.00205441080429652,0.00223171293217143,0.00165696291157901,0.002757309182626,0.00163545129475706,0.00138183352958302,0.00216327983513468,0.00123838957301286,0.00748603709910838,0.00991944056504148,0.0069124585827727,-0.000444251542737497,-0.000432792059470785,-0.000889261856344578,0.00598746912135059,0.00731527779623616,0.00134957348858976,0.00115087624902979,-1.9654566652663e-05,-9.57809477156885e-06,0.00160641888218056,-0.0124616876209137
59,optimista,0.0020788187610157,0.00225800352558748,0.00167822946188798,0.00279812809186188,0.00164762236419327,0.00140017868984925,0.00219779119768737,0.00124634454545557,0.00754673722821131,0.00999957408569848,0.00695289709674684,-0.000444210787906564,-0.000432541867239974,-0.000889242967195487,0.00597777032896113,0.00729934079490067,0.00136295353325479,0.00117610592408779,-1.96510705916341e-05,-9.33151395844339e-06,0.0016260699527722,-0.0124626739441662
60,optimista,0.00210323804786465,0.00228431596599215,0.00169960215148833,0.00283896196555553,0.00165976385186933,0.00141861366982336,0.00223228228923345,0.00125424638401194,0.00760742672153124,0.0100799024273596,0.00699207874742497,-0.000444261911137485,-0.000432385858947097,-0.000889399484268394,0.00596962860189193,0.00728540432303331,0.00137633347160021,0.00120154641312085,-1.96358276177575e-05,-9.10592032828374e-06,0.00164570578038995,-0.0124635763186869
61,optimista,0.0021276447929339,0.00231062178868948,0.00172106705604465,0.00287979788253024,0.00167183890291038,0.00143713167204727,0.00226675557617227,0.00126206851918689,0.00766806899970223,0.0101603856343903,0.00702992131857396,-0.000444405800534187,-0.000432324809304567,-0.00088972922390447,0.00596299591267652,0.00727340569783973,0.00138969566030924,0.00122716992171555,-1.96083173963947e-05,-8.8945906746687e-06,0.00166531409778635,-0.0124644216373013
62,optimista,0.00215201499562097,0.0023368924735286,0.00174260998571578,0.00292062320064136,0.00168381025323295,0.00145572551990955,0.00230121355855973,0.0012697838082626,0.0077286295473164,0.0102409877625396,0.00706633962477574,-0.000444643907950656,-0.000432360058806081,-0.000890230795248201,0.00595783434167635,0.00726329499017898,0.00140302199137823,0.00125294849322541,-1.95682261826407e-05,-8.69166410359941e-06,0.00168488232396899,-0.0124652333435856
63,optimista,0.00217632471626173,0.00236309964746375,0.00176421674094678,0.00296142575471951,0.00169564038587799,0.00147438789337532,0.00233565892473567,0.00127736466267827,0.00778907565876208,0.0103216765833076,0.00710124519756849,-0.00044497824414123,-0.000432493507119767,-0.000890903576817892,0.00595411567870736,0.00725503450945155,0.00141629405984015,0.00127885443381979,-1.95153971959839e-05,-8.49203118899123e-06,0.00170439772116497,-0.012466031875244
64,optimista,0.00220055020421445,0.00238921521801532,0.00178587330377191,0.00300219399812293,0.00170729162273338,0.00149311151194549,0.00237009467486134,0.00128478312771116,0.00784937619417647,0.0104024233091446,0.00713454596122252,-0.000445411379411573,-0.000432727611895529,-0.000891747697340419,0.0059518210857244,0.00724859836277264,0.00142949328306334,0.00130486062312629,-1.94497881539288e-05,-8.29123456548285e-06,0.0017238475093189,-0.0124668350617381
65,optimista,0.00222466797387429,0.00241521144840562,0.00180756597427683,0.00304291709680476,0.00171872616152599,0.00151188927248248,0.00240452421793059,0.00129201092143642,0.00790950134555815,0.010483202340049,0.00716614589753172,-0.000445946449307779,-0.000433065392514507,-0.00089276402058051,0.0059509408214813,0.00724397208964301,0.00144260097868094,0.00133094072816138,-1.93714350086484e-05,-8.08538018794458e-06,0.00174321894432755,-0.0124676584792482
66,optimista,0.00224865483650681,0.00244106098326714,0.00182928146040125,0.00308358498322014,0.00172990606631806,0.00153071434851782,0.0024389514461991,0.00129901943894084,0.00796942241267243,0.0105639910315416,0.00719594469884355,-0.000446587165000339,-0.000433510438424391,-0.000893954133938727,0.00595147402825978,0.00724115237225754,0.00145559840722203,0.00135706933527594,-1.9280421022703e-05,-7.87105853330446e-06,0.00176249936535026,-0.0124685157658668
67,optimista,0.00227248789447992,0.00246673683230154,0.00185100692801622,0.00312418837612304,0.00174079321838107,0.00154958025673597,0.00247338079040433,0.00130577972687435,0.0080291115880748,0.0106447694835716,0.00722383740839897,-0.000447337828125882,-0.000434066921807047,-0.000895320340632375,0.00595342858027258,0.00724014682093652,0.00146846678463454,0.00138322201243606,-1.91768504052842e-05,-7.64527511186312e-06,0.00178167621575554,-0.0124694188995525
68,optimista,0.00229614450337684,0.00249221231801379,0.00187273001714074,0.00316471877124707,0.00175134923317798,0.00156848089550343,0.00250781725862105,0.00131226243263322,0.00808854175034409,0.010725520349628,0.00724971404689764,-0.000448203349947691,-0.000434739614419444,-0.000896865655311113,0.00595682099312707,0.00724097383384465,0.00148118726910422,0.00140937531216959,-1.90608258098175e-05,-7.40538976339943e-06,0.00180073704156536,-0.0124703784409464
69,optimista,0.00231960220653801,0.00251746099258851,0.0018944388292365,0.00320516840696797,0.0017615353482162,0.00158741055957605,0.00254226646111018,0.00131843773177441,0.00814768626443922,0.0108062286651332,0.00727345922403904,-0.00044918927478872,-0.000435533908538071,-0.000898593802995004,0.00596167639373545,0.00724366253011313,0.00149374092587862,0.00143550672383102,-1.89324290675841e-05,-7.14906432252913e-06,0.00181966947063294,-0.0124714037427099
70,optimista,0.0023428386457747,0.00254245652807198,0.0019161218897147,0.00324553020826616,0.00177131228570572,0.00160636393446587,0.00257673462306983,0.00132427523665343,0.00820651878795482,0.0108868816940918,0.00729495173361331,-0.000450301807780181,-0.000436455842022577,-0.000900509221257591,0.0059680285502355,0.0072482527556526,0.00150610867319173,0.00146159458240148,-1.8791704600796e-05,-6.87421834070974e-06,0.00183846117523374,-0.0124725031266372
71,optimista,0.00236583145129792,0.00256717258324261,0.0019377680890887,0.00328579771162031,0.00178064009324986,0.00162533607337484,0.00261122858678357,0.00132974388875373,0.00826501308194221,0.0109674687929134,0.00731406413052529,-0.000451547847055798,-0.000437512127597431,-0.00090261706561066,0.00597591996181177,0.00725479516129829,0.00151827121185078,0.00148761793980101,-1.86386450228308e-05,-6.5789926465904e-06,0.00185709982025657,-0.0124736840294136
72,optimista,0.00238855811330211,0.00259158264987992,0.00195936660560092,0.00332596497285273,0.00178947796519652,0.00164432235910387,0.00264575580427956,0.00133481183672918,0.0083231428248732,0.0110479812903296,0.00733066228793025,-0.00045293502060767,-0.00043871018653182,-0.000904923218080891,0.00598540200875534,0.0072633513534331,0.00153020894058535,0.00151355640362417,-1.8473178493697e-05,-6.26172061193173e-06,0.00187557299875026,-0.0124749531175523
73,optimista,0.00241099583712618,0.00261565988056935,0.00198090681163598,0.00336602645940664,0.00179778404678055,0.00166331845291619,0.00268032432126164,0.00133944630180995,0.00838088142824853,0.0111284123823587,0.00734460493243865,-0.000454471728105216,-0.000440058186978597,-0.000907434299001813,0.00599653516365247,0.00727399411786462,0.00154190185886813,0.0015393899473045,-1.82951574559336e-05,-5.92090706741946e-06,0.0018938681562062,-0.0124763163717303
74,optimista,0.00243312138348435,0.00263937689970622,0.00200237816580318,0.003405976928063,0.00180551522279214,0.00168232023197273,0.00271494275274727,0.00134361343192321,0.00843820185228385,0.0112087570413387,0.00735574315510905,-0.000456167188064826,-0.0004415650873136,-0.000910157682077669,0.00600938926523426,0.00728680771846893,0.0015533294585944,0.00156509869497008,-1.81043484308263e-05,-5.55521488110462e-06,0.00191197250463702,-0.0124777791404756
75,optimista,0.00245491089491666,0.00266270559898996,0.00202377009222875,0.00344581128870139,0.00181262689221326,0.00170132371666093,0.00274962025054359,0.00134727814565516,0.00849507642003959,0.0112890119381332,0.00736391989569117,-0.000458031490845433,-0.000443240684897895,-0.000913101512809123,0.00602404385713998,0.00730188827294333,0.00156447060575096,0.00159066268367593,-1.7900422607896e-05,-5.16345927053071e-06,0.00192987292724492,-0.0124793461629179
